id,description,genre
29,"Жизнь Никки разрушается, когда ее дочь похищается, а когда она охотится за ней, она должна сражаться, чтобы спасти своего ребенка.",2
30,"Посмотрите на Майкла Джексона, одного из самых известных и популярных артистов всех времен, как никогда прежде в спектаклях Майкла Джексона: ""Жизнь Икона"". Знанного миллионам поклонников по всему миру за его альбомы, оригинальные музыкальные видео, забавные танцевальные движения и гуманитарные усилия, его правдивая история никогда не рассказывалась... до сих пор. Этот беспрецедентный взгляд на увлекательную жизнь короля Попа включает в себя все новые интервью с его матерью Кэтрин Джексон, а также братьями Тито и Ребби Джексон, его племянником Джафаром Джексоном и Джейси Тахкией принесёт изобилие Джексона и друзей концы и музыкальные легенды, такие как Смоки Робинсон, Дионне Уорвик и его трое детей и многие другие.",2
31,"Ужасное открытие на территории их нового дома ввергает молодую пару в камне духовного одержимости, языческих ритуалов, сражений викингов и насильственной мести.",0
32,"Когда ее обязанности отправили ее в аномальную червоточину, связанную с революционером Кри, силы Кэрол запутались с властью суперфана Камалы Хана Джерси, мисс Марвел, и оторванной племянницы Кэрол, теперь астронавта С.А.Б.Э.Р. Капитана Моники Рамбо. Вместе, этот малейший трио должен объединиться и научиться работать вместе, чтобы спасти вселенную.",0
33,"На основе самой продаваемой книги «Помни время: защищай Майкла Джексона в его последние дни» и рассказывай через глаза доверенных телохранителей Джексона, Билла Уитфилда и Явона Борода. Фильм покажет, что Майкл Джексон был предан своим детям, и скрытую драму, которая произошла за последние два года его жизни.",2
34,"После того как их пьяный праздник в Бразилии раскроет глобальный скандал, они должны убежать от злобных фанатов, преступников и силовых чиновников, чтобы спасти свою карьеру и вернуть ее домой живой.",0
35,На последней изнурительной миссии во время подготовки армейских рейнджеров боевой инженер должен возглавить свое подразделение в борьбе с гигантской машиной для убийства людей другого мира.,0
36,"В XIV веке, когда Шелковый путь рушится и соперничающие группировки разрывают землю на части, бесстрашный воин Тимур выходит из изгнания. Разорванный на части, он борется за объединение разрушенных королевств, используя стратегию и полную волю для того, чтобы вырвать империю из хаоса. Непобедимый в бою и широко признанный как один из величайших военных лидеров и тактикистов, не говоря уже об одном из самых жестоких из них, Тимур нашел бы Тимуридскую империю, правившую над современным Афганистаном, Ираном и Центральной Азией.",0
37,"Брэндон Беккет и агент Зеро возглавляют спасательную миссию в Коста-Верде, когда их друзей берут в заложники.",0
38,"Так же, как жизнь Тессы начинает оставаться незамеченной, ничто не то, что она думала бы, не ее друзья и не ее семья, единственный человек, на которого она может положиться, это Хардин, который в ярости, когда он обнаруживает огромный секрет, который она хранила прежде, чем Тесса примет самое важное решение в ее жизни, все меняется из-за откровения о своей семье.",2
39,"Когда появляется неожиданный враг и угрожает глобальной безопасности и безопасности, Ник Фьюри, директор международного миротворческого агентства, известного как Щ.И.Т., оказывается, что ему нужна команда, чтобы отвести мир от края катастрофы.",0
40,"По мере того, как Мстители и их союзники продолжают защищать мир от слишком больших угроз, с которыми может справиться любой герой, из космических теней возникла новая опасность: Танос. Деспот межгалактического позора, его цель состоит в том, чтобы собрать все шесть камней Бесконечности, артефактов невообразимой силы и использовать их, чтобы навязать свою извращённую волю всей реальности. Все, за что боролись Мстители, привело к этому моменту - судьба Земли и самого существования никогда не была более неопределенной.",0
41,"Когда выговор Франклина изменяет своему напарнику с таинственной девушкой, с которой он встречается на свидании, это становится началом смертельной одержимости.",2
42,"Но как его чувства к ней усиливаются, так и его неожиданное погружение в самую большую любовь Эша: дикий мир мукбэнга, и с ним много кровопролития.",0
43,"В 1940-х годах за двойное убийство его жены и ее любовника порядочный банкир Энди Дюфресн начинает новую жизнь в тюрьме Шоушенка, где он ставит свои бухгалтерские навыки на службу аморального надзирателя. В течение долгого времени в тюрьме Дюфресн восхищается другими заключенными, включая старшего заключенного по имени Рэд, за свою честность и неумолимое чувство надежды.",2
44,"Трагедия поражает, когда Хитклифф влюбляется в Кэтрин Эрншоу, женщину из богатой семьи в Англии XVIII века.",2
45,"Одиссей, легендарный король Итака, отправляется на долгий и опасный путь домой после троянской войны. На протяжении всего своего путешествия он вынужден противостоять прихотям богов, мифологических монстров и испытаниям, которые протягивают как его хитрость, так и его человечность до переломной точки.",2
46,"Гоночная легенда Sonny Hayes сорвана с пенсии, чтобы возглавить команду Формулы-1 и наставника молодого горячего водителя, преследуя еще один шанс на славу.",0
47,"Слепой человек, который восстанавливает свое видение, становится метафорически ослеплён своей одержимостью поверхностными.",2
48,"Когда Джеймс получает таинственное письмо от своей потерянной любви к Марии, его притягивают к Тихому Хиллу — некогда известному городу, поглощаемому тьмой.",2
49,"Пять лет назад, разрыв в ткани реальности привел в наш мир существ из альтернативного измерения, направленного на наше уничтожение, отец прячет свою дочь на острове, чтобы сохранить ее в безопасности, готовя ее к выживанию и предстоящим битвам, но когда мир вот-вот расколется, нигде не будет безопасности.",0
50,"Группа друзей, сталкивающихся с кризисами среднего возраста, направляется к тропическим лесам с намерением реконструировать свой любимый фильм из своей молодежи, только чтобы оказаться в состоянии борьбы за свою жизнь против стихийных бедствий, гигантских змей и жестоких преступников.",0
51,"В живописных ландшафтах Южной Франции, охлаждение молодой женщины убийствами и кражей личных данных ведет ее жизнь в бурю хаоса.",2
52,"Оригинальная ""Четыре Всадника"" воссоединилась с новым поколением иллюзий, чтобы взять на себя мощную наследницу алмазов Вероника Вандерберг, которая возглавляет преступную империю, построенную на отмывании денег и контрабанде. Новые и старые волшебники должны преодолеть свои разногласия, чтобы вместе работать над своим самым амбициозным ограблением.",0
53,"Двое друзей отправляются на работу и сталкиваются с неожиданными проблемами и местными деятелями, когда они решают свои задачи. Их усилия по адаптации к незнакомым условиям высвечивают моменты юмора, культуры малых городов и непредсказуемый характер путешествий по работе. По мере того, как они устраняют проблемы, их опыт оставляет прочное впечатление и открывает новые перспективы для их дружбы.",2
54,"Когда К-поп суперзвезды Руми, Мира и Зоуи не продают стадионы, они используют свои секретные силы, чтобы защитить своих фанатов от сверхъестественных угроз.",0
55,"Молодая дочь журналистки исчезает в пустыню без следа - восемь лет спустя разбитая семья шокирована, когда ее возвращают к ним, так как радостное воссоединение превращается в живой кошмар.",2
56,"Команда балеринов борется за выживание, пытаясь сбежать из отдаленной гостиницы после того, как их автобус сломался по пути к танцевальному соревнованию.",2
57,"В 1945—1955 годах, хроника вымышленной итальяно-американской преступной семьи Корлеоне, когда патриарх по организованной преступности, Вито Корлеоне едва пережил покушение на свою жизнь, его младший сын, Майкл, принимает меры, чтобы позаботиться о потенциальных убийцах, развязав кампанию кровопролитной мести.",0
58,"Кобб, опытный вор, который занимается корпоративным шпионажем, проникая в подсознание своих целей, имеет шанс вернуть свою старую жизнь в качестве платы за задание, которое считается невозможным: ""зачатие"", имплантация идеи другого человека в подсознание цели.",2
59,"Оставляя свою детскую, Венди, Майкл и Джон следуют за Питером Пэном в волшебный мир, где детство длится вечно, но пока в Неверленде, дети должны встретиться с капитаном Крюком и сорвать его попытки избавиться от Питера навсегда.",0
60,"Два гангстера и женщина, которых они любят, пытаются пережить самую опасную ночь в их жизни.",0
61,"Когда дедушка и бабушка Дима решительно отказываются от попыток Кенны увидеться с дочерью, Кенна обнаруживает неожиданное сострадание, а затем что-то более правдивое и более глубокое, с бывшим игроком НФЛ и местным владельцем бара Леджером. По мере развития их тайного романа, так же как и опасность для обоих, что приводит Кенну к разбитию сердца и, в конечном итоге, к надежде на второй шанс.",2
62,"Доктор Келсон находится в шокирующих новых отношениях - с последствиями, которые могут изменить мир, как они это знают - и встреча Спайка с Джимми Кристал становится кошмаром, с которым он не может сбежать.",2
63,"Отчаянный, чтобы спасти свою больную дочь, рабочий класс Бен Ричардс убежден очаровательным, но безжалостным продюсером бегущего человека войти в смертоносную игру в качестве последней меры. Но неповиновение, инстинкты и храбрость Бена превращают его в неожиданный фанальность, и угрозу для всей системы. Как скачок рейтингов, так и опасность, и Бен должен обмануть не только Охотников, но и нацию, зависимую наблюдать за его падением.",0
64,"Три британские девочки-подростки ходят на праздники, напиваясь, кружая и перепиваясь, в лучшее лето в их жизни.",2
65,"В 22-м веке Матрица рассказывает историю хакера-компьютера, который присоединяется к группе подпольных мятежников, борющихся с огромными и мощными компьютерами, которые сейчас правят землей.",0
66,"Бэтмен поднимает ставки в своей борьбе с преступностью, с помощью лейтенанта Джима Гордона и окружного прокурора Харви Дента, Бэтмен собирается уничтожить оставшиеся преступные организации, которые поражают улицы, партнерство оказывается эффективным, но вскоре они становятся жертвами царящего хаоса, развязанного подрастающим криминальным мастером, известным напуганным гражданам Готэма как Джокер.",0
67,"Когда среднестатистические законопослушные граждане внезапно обращаются к гедонистическому поведению и насильственным преступлениям, детективу Тому Бэку поручено помочь молодому агенту ФБР Ллойду Галлагеру определить причину.",0
68,"Молодая женщина становится опекуном падшей звезды, которую она должна защитить от опасных сил с помощью храброго незнакомца.",2
69,"Параноидальный писатель не может начать свой второй роман, он нанимает секретаря, а потом его проблемы начинаются.",2
70,"После разрушительных событий Мстителей: Война Бесконечности, Вселенная в руинах из-за усилий Безумного Титана, Таноса. С помощью оставшихся союзников Мстители должны собраться еще раз, чтобы отменить действия Таноса и восстановить порядок во Вселенной раз и навсегда, независимо от возможных последствий.",0
71,"Любящий бургеры киллер, его философский напарник, кукла гангстера с наркотой и вымытый боксер сходятся в этой разрастающейся комедийной криминальной ловушке, их приключения размножаются в трех историях, которые гениально путешествуют туда-сюда во времени.",1
72,"Пять лет спустя после событий Юрского мирового Доминиона, специалист по секретным операциям Зора Беннетт была нанята для того, чтобы возглавить квалифицированную команду на сверхсекретной миссии по обеспечению защиты генетического материала от трёх самых крупных динозавров в мире. Когда операция Зоры пересекается с гражданской семьей, чья экспедиция на лодках была перевернута, они все оказались на острове, где они столкнулись лицом к лицу с зловещим, шокирующим открытием, которое скрывалось от мира на протяжении десятилетий.",0
73,"Доверие пугает, когда команда копов Майами обнаруживает миллионы наличных в заброшенном доме, ставя под сомнение всех — и все остальное.",0
74,"Когда ураган 5-й категории уничтожает прибрежный город, шторм приводит к опустошению, хаосу и чему-то более страшному на берегу: голодным акулам.",0
75,"Сводные братья Джонни и Джеймса воссоединились после загадочной смерти их отца, и пока они искали правду, зарытые секреты раскрыли заговор, грозящий разрушить их семью.",2
76,"В то время как армии собираются для последней битвы, которая решит судьбу мира - и могущественные, древние силы Света и Темноты соревнуются, чтобы определить исход - один член Братства Кольца становится благородным наследником престола Королей Человеческих. И все же, единственная надежда на триумф над злом лежит на хоббите, Фродо, который в сопровождении своего верного друга Сэма и отвратительного, несчастного Голлума, проделывает в глубине мрачного сердца Мордора свои, казалось бы, невыполнимые попытки уничтожить Кольцо Владыки.",0
77,"Питер Паркер разоблачен и больше не в состоянии отделить свою нормальную жизнь от высоких показателей того, что он супергерой. Когда он просит помощи у доктора Стрейнджа, ставки становятся еще более опасными, заставляя его узнать, что на самом деле значит быть Человеком-пауком.",2
78,"В послевоенной Германии американский психиатр должен определить, в состоянии ли нацистские заключенные предстать перед судом за военные преступления, и оказаться в сложном сражении интеллекта и этики с Германом Герингом, правой рукой Гитлера.",2
79,"Мощная история любви и потери, вдохновившая на создание безвременного шедевра Шекспира, Гамлета.",2
80,"Из - за страшного заключения Майя и незнакомцы застряли на неизбежном, неспровоцированном курсе столкновения, который доказывает, что теперь они далеко от чужих.",2
81,"Бессписочный Уэйд Уилсон уезжает в гражданскую жизнь со своими днями в качестве морально гибкого наемника, Дэдпула, за ним, но когда его родная жизнь сталкивается с угрозой существования, Уэйд должен с неохотой снова настроиться с еще более неохотной Wolverine.",1
82,"Молодой хоббит Фродо Баггинс, наследовав таинственное кольцо от своего дяди Бильбо, должен покинуть свой дом, чтобы не попасть в руки своего злого создателя. По пути формируется братство, чтобы защитить носителя кольца и убедиться, что кольцо прибывает в конечный пункт назначения: Mt. Doom, единственное место, где его можно уничтожить.",0
83,"Свадебная ночь молодой невесты превращается в ее худший кошмар, когда ее нелепо богатая свекровь заставляет ее играть в ужасную игру в прятки.",1
84,"После более чем тридцати лет службы в качестве одного из лучших летчиков ВМС и уклонения от продвижения по званию, которое могло бы нанести ему удар, Пит никчемный Митчел обучает отряд выпускников TOP GUN для специализированной миссии, которую не видел ни один живой пилот.",0
85,"Новобрачная пара Тед и Тами-Линн хотят иметь ребенка, но для того, чтобы быть родителем, Тед должен доказать, что он человек в суде.",2
86,"С помощью своей девушки, Филлис Поттер, и лучшего друга, Лумиса, Гримм входит в банк Манхэттена, одетый в клоуна, создает ситуацию, связанную с заложниками, и совершает безупречное ограбление. Единственное, что осталось трио сделать, это уехать из города и аэропорта. Звучит достаточно просто, но, кажется, судьба покидает их сразу же после ограбления банка. Один промах за другим, чтобы эти грабители не достигли свободы.",0
87,"Два детектива-убийцы отчаянно охотятся за серийным убийцей, преступления которого основаны на ""семи смертельных грехах"" в этом темном и призрачном фильме, в котором зрители из мученных останков одной жертвы в следующую.",2
88,"Когда писатель Ом Бауман отступает в отдаленный отель, чтобы развеять прах своих родителей, он поглощается сказками о ведьме, которая преследует номер для медового месяца. Раздражающие видения и шокирующее исчезновение заставляют его противостоять темным углам его прошлого.",2
89,"После того, как молодую девочку жестоко убивают безжалостным преступником Харрисоном Григгсом, она вряд ли связывается с ветераном гражданской войны, который стал беглецом, известным как ""Мясник"", вместе они должны остановить Григгса и его банду, прежде чем он захватит контроль над городом.",0
90,"В голове подростка Райли происходит внезапный снос, чтобы освободить место для чего-то совершенно неожиданного: эмоций! Джой, Грусть, Гнев, Страх и Гнев, которые долгое время успешно проводили операцию по всем показаниям, не уверены, как чувствовать, когда появляется Тревога. И похоже, что они не одни.",2
91,"Нелегко быть зеленым, особенно если ты симпатичный (хотя вонючий) огр по имени Шрек. На миссии по извлечению великолепной принцессы из когтей огнедышащего дыхательного дракона, команды Шрека с маловероятной соотечественницей - мудрый осел.",1
92,"Человек с низким IQ достиг в своей жизни больших результатов и присутствовал во время важных исторических событий — в каждом случае, намного превосходя то, что мог сделать любой человек, но несмотря на все свои достижения, его единственная настоящая любовь ускользает от него.",2
93,"Одинокий Франкенштейн путешествует в Чикаго 1930-х, чтобы попросить нового ученого доктора Юфрониуса создать для него компаньона.",2
94,"Бродяга с таинственным прошлым приезжает в маленький городок и находит жителей в руках безжалостного криминального босса и понимает, что он должен им помочь.",0
